"","Region","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","state_index","region_index"
"1","Midwest","missouri","MO-07",7,10.0606,"Rural-Exurban",0,0,785669,0.507,56419,74018,38.5,0.182813628,0.175,0.022,20,4
"2","Midwest","minnesota","MN-06",6,10.45171,"Rural-Exurban",0,0,731533,0.492,95930,120995,37.5,0.140643006,0.244,0.018,12,4
"3","Midwest","minnesota","MN-01",1,9.4322,"Mostly Rural",0,0,714126,0.497,73826,97587,39.4,0.191356987,0.204,0.02,12,4
"4","Midwest","ohio","OH-15",15,11.37228,"Suburban-Exurban",0,0,785817,0.497,71285,96379,36.9,0.148911261,0.21,0.023,18,4
"5","Midwest","ohio","OH-08",8,11.23309,"Suburban-Exurban",0,0,781678,0.504,72748,95642,39,0.181945763,0.193,0.022,18,4
"6","Midwest","ohio","OH-03",3,12.51553,"Urban-Suburban",1,1,785836,0.513,67720,99116,34.5,0.133763279,0.272,0.024,18,4
"7","Midwest","ohio","OH-10",10,11.47421,"Suburban-Exurban",0,0,782035,0.511,64173,87361,39.4,0.189919888,0.182,0.03,18,4
"8","Midwest","missouri","MO-02",2,11.42386,"Suburban-Exurban",0,0,778625,0.51,96915,133197,41.8,0.198005458,0.29,0.018,20,4
"9","Midwest","ohio","OH-06",6,10.12129,"Rural-Exurban",0,0,778876,0.501,57817,75239,43.2,0.221416503,0.14,0.019,18,4
"10","Midwest","missouri","MO-01",1,12.366,"Dense Suburban",1,1,742101,0.521,57762,86740,37,0.166225352,0.214,0.035,20,4
"11","Midwest","south dakota","SD-01",1,8.9698,"Mostly Rural",0,0,909824,0.492,69728,89048,38.5,0.182352851,0.217,0.019,47,4
"12","Midwest","nebraska","NE-02",2,11.95222,"Dense Suburban",0,0,658116,0.5,77535,110786,35.9,0.141046563,0.264,0.019,26,4
"13","Midwest","ohio","OH-14",14,10.5151,"Suburban-Exurban",0,0,784361,0.501,65214,91799,42.9,0.211588796,0.19,0.024,18,4
"14","Midwest","ohio","OH-02",2,9.35387,"Mostly Rural",0,0,786489,0.499,61589,84216,41.1,0.185701262,0.132,0.02,18,4
"15","Midwest","ohio","OH-09",9,10.81999,"Suburban-Exurban",1,1,780071,0.506,62077,86175,41.1,0.194420764,0.172,0.022,18,4
"16","Midwest","missouri","MO-03",3,10.14706,"Rural-Exurban",0,0,773675,0.507,75478,97042,39.7,0.183274631,0.213,0.021,20,4
"17","Midwest","missouri","MO-06",6,9.23278,"Mostly Rural",0,0,768652,0.499,66176,91011,39.3,0.179909764,0.165,0.02,20,4
"18","Midwest","missouri","MO-05",5,11.89316,"Dense Suburban",1,1,773627,0.513,61184,86890,37.1,0.163878717,0.222,0.023,20,4
"19","Midwest","michigan","MI-10",10,12.41793,"Dense Suburban",0,0,764788,0.512,71936,95139,41,0.187787988,0.189,0.03,16,4
"20","Midwest","michigan","MI-07",7,10.5525,"Suburban-Exurban",0,1,779873,0.506,74404,100573,38.7,0.175397789,0.223,0.025,16,4
"21","Midwest","michigan","MI-12",12,12.66166,"Urban-Suburban",1,1,759672,0.517,54818,79389,37.3,0.167448583,0.165,0.043,16,4
"22","Midwest","michigan","MI-13",13,12.4986,"Dense Suburban",1,1,757463,0.516,47778,75789,37.3,0.162566356,0.128,0.049,16,4
"23","Midwest","michigan","MI-06",6,11.5115,"Dense Suburban",0,1,765213,0.503,88275,120504,38.8,0.171143198,0.276,0.022,16,4
"24","Midwest","michigan","MI-04",4,10.54956,"Suburban-Exurban",0,0,778490,0.506,70086,92562,37.8,0.177655461,0.209,0.023,16,4
"25","Midwest","michigan","MI-01",1,8.3504,"Mostly Rural",0,0,782743,0.488,60877,78945,47.6,0.25738333,0.177,0.021,16,4
"26","Midwest","nebraska","NE-03",3,8.26581,"Mostly Rural",0,0,649904,0.498,61627,80233,40.6,0.21024182,0.173,0.013,26,4
"27","Midwest","missouri","MO-08",8,8.99901,"Mostly Rural",0,0,775424,0.5,53903,76922,40.7,0.185685509,0.137,0.023,20,4
"28","Midwest","missouri","MO-04",4,9.13833,"Mostly Rural",0,0,780184,0.497,62213,82741,38.4,0.180890662,0.158,0.023,20,4
"29","Midwest","michigan","MI-02",2,8.82769,"Mostly Rural",0,0,781036,0.49,61030,79846,41.6,0.196318736,0.143,0.023,16,4
"30","Midwest","michigan","MI-05",5,9.67438,"Rural-Exurban",1,0,768082,0.495,64067,85508,42,0.201067074,0.148,0.029,16,4
"31","Midwest","michigan","MI-08",8,10.69794,"Suburban-Exurban",1,1,768166,0.51,57526,81071,41.5,0.198567757,0.169,0.039,16,4
"32","Midwest","minnesota","MN-03",3,11.89663,"Dense Suburban",1,1,700754,0.504,100867,142010,41.4,0.185129161,0.329,0.021,12,4
"33","Midwest","minnesota","MN-07",7,8.14396,"Mostly Rural",0,0,713848,0.493,70672,90681,41.9,0.213216259,0.178,0.019,12,4
"34","Midwest","minnesota","MN-08",8,8.7145,"Mostly Rural",0,0,725126,0.491,69868,92889,42.6,0.214961262,0.18,0.022,12,4
"35","Midwest","illinois","IL-08",8,12.2366,"Dense Suburban",1,1,749823,0.498,91317,115163,40,0.155063262,0.267,0.028,4,4
"36","Midwest","illinois","IL-01",1,12.39519,"Dense Suburban",1,1,728550,0.524,64107,93637,40.2,0.185970764,0.179,0.052,4,4
"37","Midwest","illinois","IL-11",11,11.60326,"Dense Suburban",1,1,766225,0.505,99802,133296,40.1,0.160294953,0.276,0.029,4,4
"38","Midwest","illinois","IL-02",2,11.29298,"Suburban-Exurban",1,1,730809,0.523,57780,81581,39.5,0.180168827,0.14,0.053,4,4
"39","Midwest","illinois","IL-17",17,10.68504,"Suburban-Exurban",1,1,738355,0.502,56834,76341,38.7,0.189109575,0.158,0.029,4,4
"40","Midwest","illinois","IL-07",7,13.64136,"Dense Urban",1,1,758917,0.527,76365,123828,34.2,0.130824583,0.257,0.045,4,4
"41","Midwest","illinois","IL-10",10,11.70691,"Dense Suburban",1,1,744016,0.496,98057,145104,40.2,0.168745027,0.259,0.02,4,4
"42","Midwest","illinois","IL-12",12,8.90855,"Mostly Rural",0,0,748293,0.496,62253,81304,41.9,0.198515822,0.152,0.022,4,4
"43","Midwest","illinois","IL-03",3,13.31683,"Dense Urban",1,1,708538,0.492,78452,110500,37.2,0.140538687,0.247,0.031,4,4
"44","Midwest","illinois","IL-06",6,12.51739,"Urban-Suburban",1,1,737763,0.509,95298,131149,41.1,0.198036497,0.262,0.026,4,4
"45","Midwest","illinois","IL-16",16,9.59515,"Rural-Exurban",0,0,745274,0.5,78393,100707,41.7,0.204599919,0.205,0.023,4,4
"46","Midwest","illinois","IL-04",4,13.3979,"Dense Urban",1,1,718854,0.498,69123,101737,37.2,0.142607539,0.154,0.039,4,4
"47","Midwest","illinois","IL-09",9,12.90872,"Urban-Suburban",1,1,730979,0.498,86692,125253,41.6,0.188283111,0.321,0.033,4,4
"48","Midwest","illinois","IL-14",14,11.21229,"Suburban-Exurban",1,1,756472,0.494,86174,109503,36.6,0.134297106,0.201,0.025,4,4
"49","Midwest","indiana","IN-03",3,10.18394,"Rural-Exurban",0,0,762110,0.502,65522,86998,37.5,0.170842792,0.169,0.023,23,4
"50","Midwest","indiana","IN-05",5,10.86186,"Suburban-Exurban",0,0,772783,0.506,75915,114079,38.8,0.1668075,0.258,0.022,23,4
"51","Midwest","nebraska","NE-01",1,10.91282,"Suburban-Exurban",0,0,659903,0.494,74193,94549,36.1,0.159773482,0.242,0.015,26,4
"52","Midwest","indiana","IN-06",6,10.64735,"Suburban-Exurban",0,0,758725,0.503,69426,90452,38.2,0.170594089,0.185,0.02,23,4
"53","Midwest","indiana","IN-09",9,9.74306,"Rural-Exurban",0,0,760778,0.501,67283,86927,39.6,0.176168343,0.164,0.021,23,4
"54","Midwest","indiana","IN-04",4,9.95885,"Rural-Exurban",0,0,768518,0.493,72677,97133,37.4,0.159984542,0.196,0.016,23,4
"55","Midwest","indiana","IN-08",8,9.56708,"Rural-Exurban",0,0,752244,0.498,61601,82509,39.8,0.191958992,0.151,0.019,23,4
"56","Midwest","indiana","IN-07",7,12.2291,"Dense Suburban",1,1,747577,0.518,59595,86131,34.4,0.132387701,0.232,0.037,23,4
"57","Midwest","indiana","IN-01",1,11.26531,"Suburban-Exurban",1,1,755538,0.505,69580,92452,39.9,0.179397992,0.186,0.029,23,4
"58","Midwest","iowa","IA-03",3,10.54495,"Suburban-Exurban",1,0,814070,0.501,74960,104117,37.6,0.160299483,0.253,0.02,38,4
"59","Midwest","iowa","IA-01",1,9.65413,"Rural-Exurban",0,0,798442,0.499,67381,87516,39,0.183372117,0.211,0.018,38,4
"60","Midwest","iowa","IA-02",2,9.73029,"Rural-Exurban",0,0,793421,0.5,67862,91117,40.2,0.198049963,0.204,0.02,38,4
"61","Midwest","iowa","IA-04",4,9.20412,"Mostly Rural",0,0,794584,0.492,68755,88720,39,0.194862972,0.19,0.02,38,4
"62","Midwest","kansas","KS-02",2,9.77136,"Rural-Exurban",0,0,730784,0.496,60983,80182,37.7,0.174475632,0.169,0.025,33,4
"63","Midwest","kansas","KS-01",1,8.97284,"Mostly Rural",0,0,727503,0.493,60646,77866,36,0.178764899,0.188,0.019,33,4
"64","Midwest","kansas","KS-04",4,10.60621,"Suburban-Exurban",0,0,737034,0.501,65593,85966,37.4,0.169808991,0.202,0.03,33,4
"65","Midwest","kansas","KS-03",3,11.52846,"Dense Suburban",1,1,741829,0.503,91626,126418,39,0.166657006,0.312,0.02,33,4
"66","Midwest","michigan","MI-11",11,12.18432,"Dense Suburban",1,1,769865,0.503,86379,125050,40.7,0.183963422,0.278,0.027,16,4
"67","Midwest","michigan","MI-03",3,11.59025,"Dense Suburban",NA,1,781426,0.503,72574,98781,35.9,0.155383875,0.25,0.023,16,4
"68","Midwest","michigan","MI-09",9,10.04531,"Rural-Exurban",1,0,777301,0.501,78456,106685,43.8,0.196492736,0.182,0.019,16,4
"69","Midwest","minnesota","MN-05",5,12.88577,"Urban-Suburban",1,1,706667,0.499,77372,112891,34.7,0.134365974,0.312,0.031,12,4
"70","Midwest","minnesota","MN-04",4,12.31958,"Dense Suburban",1,1,700555,0.507,82138,114222,37.2,0.159739064,0.289,0.023,12,4
"71","Midwest","minnesota","MN-02",2,11.22782,"Suburban-Exurban",1,1,724575,0.502,101144,127199,38.5,0.152976572,0.298,0.021,12,4
"72","Midwest","illinois","IL-13",13,10.9285,"Suburban-Exurban",0,1,739838,0.508,59843,83717,37.3,0.175251879,0.186,0.034,4,4
"73","Midwest","illinois","IL-15",15,8.88089,"Mostly Rural",0,0,746507,0.503,66614,87685,42.1,0.210729437,0.16,0.019,4,4
"74","Midwest","illinois","IL-05",5,13.26219,"Dense Urban",1,1,732819,0.51,104191,155018,37.5,0.162124617,0.374,0.018,4,4
"75","Midwest","north dakota","ND-01",1,9.26211,"Mostly Rural",0,0,779261,0.488,71970,94991,36.2,0.16720072,0.223,0.015,45,4
"76","Midwest","ohio","OH-07",7,11.35736,"Suburban-Exurban",0,0,774125,0.509,81160,107914,42.9,0.207639593,0.234,0.017,18,4
"77","Midwest","ohio","OH-13",13,11.65369,"Dense Suburban",1,1,778868,0.513,65001,90261,41.7,0.201669603,0.214,0.022,18,4
"78","Midwest","ohio","OH-05",5,9.90051,"Rural-Exurban",0,0,785544,0.504,64333,88710,40.9,0.193171866,0.159,0.019,18,4
"79","Midwest","ohio","OH-11",11,12.4239,"Dense Suburban",1,1,769169,0.523,50228,81926,38.5,0.183882866,0.189,0.043,18,4
"80","Midwest","ohio","OH-12",12,9.76928,"Rural-Exurban",0,0,793038,0.499,69819,95227,40,0.177722883,0.179,0.022,18,4
"81","Midwest","ohio","OH-04",4,9.84778,"Rural-Exurban",0,0,799350,0.495,72537,99973,40.7,0.179650966,0.188,0.023,18,4
"82","Midwest","ohio","OH-01",1,11.9257,"Dense Suburban",0,1,790801,0.511,74773,115110,37.2,0.156945932,0.263,0.021,18,4
"83","Midwest","wisconsin","WI-05",5,10.76168,"Suburban-Exurban",0,0,741842,0.499,89947,120254,42.9,0.198948024,0.265,0.015,14,4
"84","Midwest","wisconsin","WI-03",3,9.00014,"Mostly Rural",1,0,741433,0.491,67520,87090,39.5,0.194120035,0.185,0.018,14,4
"85","Midwest","wisconsin","WI-07",7,8.42007,"Mostly Rural",0,0,740385,0.492,66222,89948,45.4,0.225724454,0.178,0.017,14,4
"86","Midwest","wisconsin","WI-08",8,10.06483,"Rural-Exurban",0,0,742030,0.496,71930,94154,41.3,0.188185114,0.209,0.017,14,4
"87","Midwest","wisconsin","WI-04",4,12.77521,"Urban-Suburban",1,1,719451,0.514,54672,82333,34.3,0.138684914,0.206,0.03,14,4
"88","Midwest","wisconsin","WI-02",2,10.60495,"Suburban-Exurban",1,1,743974,0.497,82271,108255,37.7,0.165516537,0.296,0.014,14,4
"89","Midwest","wisconsin","WI-01",1,10.97015,"Suburban-Exurban",0,0,729535,0.501,71781,94789,40.5,0.178639819,0.206,0.021,14,4
"90","Midwest","wisconsin","WI-06",6,9.83501,"Rural-Exurban",0,0,733889,0.493,68092,93250,42.7,0.205573322,0.189,0.013,14,4
"91","Midwest","indiana","IN-02",2,10.29184,"Rural-Exurban",0,0,754764,0.505,62487,86538,37.9,0.176210047,0.165,0.019,23,4
"92","Northeast","connecticut","CT-04",4,11.88718,"Dense Suburban",1,1,710465,0.507,106972,190234,41.1,0.170174463,0.281,0.034,28,3
"93","Northeast","massachusetts","MA-08",8,12.42628,"Dense Suburban",1,1,773868,0.51,103758,153589,40.2,0.17861961,0.288,0.027,6,3
"94","Northeast","massachusetts","MA-01",1,11.06145,"Suburban-Exurban",1,1,772032,0.51,68956,96674,42.1,0.198863519,0.191,0.029,6,3
"95","Northeast","new york","NY-05",5,13.78018,"Dense Urban",1,1,751997,0.519,81621,108662,41.2,0.171962122,0.185,0.041,1,3
"96","Northeast","massachusetts","MA-03",3,11.50051,"Dense Suburban",1,1,781020,0.507,91476,129462,39.5,0.157051036,0.222,0.028,6,3
"97","Northeast","connecticut","CT-03",3,11.80288,"Dense Suburban",1,1,735042,0.511,86205,120600,39.9,0.179546203,0.2,0.028,28,3
"98","Northeast","pennsylvania","PA-04",4,11.84089,"Dense Suburban",1,1,780519,0.508,103922,142093,42.1,0.197874747,0.274,0.021,5,3
"99","Northeast","connecticut","CT-01",1,11.72734,"Dense Suburban",1,1,718849,0.516,80371,111086,40.2,0.18023674,0.22,0.034,28,3
"100","Northeast","connecticut","CT-02",2,10.38751,"Rural-Exurban",1,1,727411,0.503,88894,120303,42.5,0.204528114,0.223,0.026,28,3
"101","Northeast","new york","NY-13",13,14.69063,"Dense Urban",1,1,770616,0.524,47855,90725,36.8,0.154432298,0.2,0.055,1,3
"102","Northeast","connecticut","CT-05",5,11.2163,"Suburban-Exurban",1,1,734438,0.514,87715,121720,40.8,0.180404609,0.227,0.032,28,3
"103","Northeast","new york","NY-18",18,10.77794,"Suburban-Exurban",1,1,786432,0.502,87124,113651,39.5,0.175149282,0.192,0.025,1,3
"104","Northeast","new york","NY-26",26,12.32544,"Dense Suburban",1,1,770160,0.51,63995,88324,39.4,0.184896645,0.193,0.021,1,3
"105","Northeast","new york","NY-25",25,11.80862,"Dense Suburban",1,1,768169,0.514,67775,96132,39.7,0.190499747,0.215,0.029,1,3
"106","Northeast","new york","NY-15",15,14.65565,"Dense Urban",1,1,727699,0.525,42090,74697,35.5,0.136112596,0.136,0.056,1,3
"107","Northeast","new york","NY-23",23,9.27141,"Mostly Rural",0,0,770357,0.505,66388,94297,43.9,0.217518631,0.171,0.026,1,3
"108","Northeast","pennsylvania","PA-05",5,12.70543,"Urban-Suburban",1,1,768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038,5,3
"109","Northeast","pennsylvania","PA-14",14,9.93512,"Rural-Exurban",0,0,755713,0.501,62622,88772,45.1,0.229679786,0.172,0.029,5,3
"110","Northeast","new york","NY-04",4,13.14159,"Dense Urban",1,0,771912,0.507,131291,164099,40.5,0.182773425,0.232,0.029,1,3
"111","Northeast","new york","NY-19",19,10.01977,"Rural-Exurban",1,0,768600,0.5,67645,92799,42.2,0.213001561,0.185,0.024,1,3
"112","Northeast","pennsylvania","PA-13",13,9.46451,"Mostly Rural",0,0,764692,0.5,64430,87402,43.6,0.218689355,0.138,0.018,5,3
"113","Northeast","new york","NY-01",1,11.83754,"Dense Suburban",0,0,775158,0.509,126171,166414,44,0.20377652,0.245,0.024,1,3
"114","Northeast","pennsylvania","PA-10",10,11.25456,"Suburban-Exurban",0,0,779565,0.507,75032,99193,39.6,0.18180652,0.207,0.023,5,3
"115","Northeast","new york","NY-20",20,11.2734,"Suburban-Exurban",1,1,781546,0.508,79758,111011,40.3,0.186911583,0.232,0.032,1,3
"116","Northeast","new york","NY-24",24,9.59475,"Rural-Exurban",0,0,774173,0.498,66103,85603,42.3,0.205073026,0.16,0.026,1,3
"117","Northeast","new york","NY-02",2,12.21863,"Dense Suburban",0,0,775081,0.497,113994,140582,39.9,0.160596118,0.192,0.027,1,3
"118","Northeast","vermont","VT-01",1,9.05338,"Mostly Rural",1,1,647064,0.504,73991,95179,43.2,0.216094544,0.245,0.018,46,3
"119","Northeast","new york","NY-06",6,14.4845,"Dense Urban",1,1,752577,0.515,73861,104150,42.6,0.198907221,0.23,0.027,1,3
"120","Northeast","pennsylvania","PA-15",15,8.93615,"Mostly Rural",0,0,759208,0.488,60094,80712,42.7,0.211631068,0.143,0.019,5,3
"121","Northeast","pennsylvania","PA-03",3,13.63714,"Dense Urban",1,1,772128,0.529,60400,94159,33.8,0.143344109,0.223,0.05,5,3
"122","Northeast","new york","NY-07",7,14.85414,"Dense Urban",1,1,699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036,1,3
"123","Northeast","new hampshire","NH-02",2,9.63994,"Rural-Exurban",1,1,691308,0.497,88494,119762,43.8,0.208932921,0.239,0.02,37,3
"124","Northeast","pennsylvania","PA-16",16,10.09883,"Rural-Exurban",0,0,761430,0.504,61715,87862,42.9,0.213797723,0.189,0.02,5,3
"125","Northeast","maine","ME-02",2,8.55475,"Mostly Rural",1,1,687642,0.501,59676,81913,46,0.231422746,0.175,0.022,42,3
"126","Northeast","new york","NY-10",10,14.653,"Dense Urban",1,1,706151,0.523,103988,200712,37,0.15408744,0.325,0.033,1,3
"127","Northeast","new york","NY-09",9,14.69678,"Dense Urban",1,1,756507,0.528,71800,105059,36.9,0.165820012,0.234,0.049,1,3
"128","Northeast","new york","NY-08",8,14.51535,"Dense Urban",1,1,754074,0.525,58631,100435,38.1,0.176082188,0.215,0.047,1,3
"129","Northeast","new york","NY-21",21,8.77082,"Mostly Rural",0,0,776361,0.487,66565,85227,42.4,0.207135598,0.155,0.02,1,3
"130","Northeast","new york","NY-16",16,13.2321,"Dense Urban",1,1,756711,0.516,96051,173412,41.2,0.178016442,0.24,0.031,1,3
"131","Northeast","new york","NY-03",3,12.46215,"Dense Suburban",1,0,771208,0.513,129730,181141,44.9,0.214349436,0.293,0.023,1,3
"132","Northeast","pennsylvania","PA-11",11,10.90266,"Suburban-Exurban",0,0,768350,0.505,82321,104833,40.5,0.202161775,0.195,0.019,5,3
"133","Northeast","new hampshire","NH-01",1,10.62228,"Suburban-Exurban",1,1,703923,0.504,91412,122606,42.8,0.195399213,0.253,0.013,37,3
"134","Northeast","new jersey","NJ-08",8,13.9866,"Dense Urban",1,1,765996,0.494,78229,127181,35.4,0.119304801,0.244,0.034,2,3
"135","Northeast","new jersey","NJ-01",1,12.28513,"Dense Suburban",1,1,766706,0.515,82670,111894,39.3,0.170873842,0.222,0.036,2,3
"136","Northeast","new york","NY-17",17,11.44308,"Suburban-Exurban",1,0,771464,0.5,115661,172012,40.2,0.17825848,0.273,0.03,1,3
"137","Northeast","maine","ME-01",1,9.89315,"Rural-Exurban",1,1,697698,0.51,80938,107030,44.3,0.220377585,0.27,0.018,42,3
"138","Northeast","massachusetts","MA-05",5,12.75613,"Urban-Suburban",1,1,776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017,6,3
"139","Northeast","massachusetts","MA-04",4,11.77869,"Dense Suburban",1,1,782122,0.515,110374,165007,40.3,0.166950936,0.255,0.03,6,3
"140","Northeast","massachusetts","MA-06",6,11.83451,"Dense Suburban",1,1,771813,0.511,106226,149868,43.2,0.201604534,0.279,0.021,6,3
"141","Northeast","new york","NY-22",22,10.73647,"Suburban-Exurban",0,0,764843,0.508,68941,93531,40.4,0.194093428,0.197,0.023,1,3
"142","Northeast","pennsylvania","PA-08",8,10.55984,"Suburban-Exurban",1,1,766586,0.501,63172,87863,43.1,0.205812525,0.174,0.033,5,3
