"","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region","index"
"1","Alabama","AL-02",2,9.51913,"Rural-Exurban",0,0,723094,0.515,57561,78988,39.1,0.180406697,0.155,0.024,NA,39
"2","Alabama","AL-04",4,9.14366,"Mostly Rural",0,0,727607,0.512,54960,79078,40.8,0.188182632,0.118,0.024,NA,39
"3","Alabama","AL-01",1,10.10553,"Rural-Exurban",0,0,730935,0.515,58781,83458,40.9,0.193123876,0.171,0.029,NA,39
"4","Alabama","AL-03",3,9.46407,"Mostly Rural",0,0,723164,0.514,54047,76517,39.4,0.182316874,0.152,0.027,NA,39
"5","Alabama","AL-06",6,10.51947,"Suburban-Exurban",0,0,710137,0.516,78796,112952,39.8,0.170772682,0.248,0.017,NA,39
"6","Alabama","AL-07",7,10.25422,"Rural-Exurban",1,1,716121,0.527,45784,70138,36.5,0.17216085,0.162,0.034,NA,39
"7","Alabama","AL-05",5,10.27975,"Rural-Exurban",0,0,743238,0.506,73698,101427,40.2,0.172317616,0.221,0.021,NA,39
"8","Alaska","AK-01",1,8.7344,"Mostly Rural",1,1,733583,0.474,88121,106785,35.9,0.138326542,0.192,0.029,"West",49
"9","Arizona","AZ-05",5,12.09759,"Dense Suburban",0,0,835596,0.503,101489,133517,38.3,0.165972551,0.257,0.018,"South",15
"10","Arizona","AZ-09",9,10.70182,"Suburban-Exurban",1,0,851459,0.501,73310,99426,41.5,0.210939106,0.157,0.03,"South",15
"11","Arizona","AZ-02",2,8.78438,"Mostly Rural",1,0,820500,0.494,62015,81524,41.9,0.230145034,0.156,0.027,"South",15
"12","Arizona","AZ-06",6,10.67026,"Suburban-Exurban",0,0,790643,0.504,71152,97110,44.1,0.261196267,0.231,0.024,"South",15
"13","Arizona","AZ-08",8,12.33945,"Dense Suburban",0,0,811500,0.512,79042,104214,42.6,0.232293284,0.201,0.024,"South",15
"14","Arizona","AZ-03",3,12.67575,"Urban-Suburban",1,1,835089,0.495,63913,84482,31,0.0872889,0.121,0.032,"South",15
"15","Arizona","AZ-07",7,11.1681,"Suburban-Exurban",1,1,815141,0.499,52555,70987,34,0.146083929,0.138,0.031,"South",15
"16","Arizona","AZ-01",1,12.05529,"Dense Suburban",1,0,799436,0.507,91562,142247,43.9,0.210979991,0.323,0.021,"South",15
"17","Arizona","AZ-04",4,12.56294,"Urban-Suburban",0,1,799833,0.487,79108,98571,34.6,0.148994853,0.24,0.025,"South",15
"18","Arkansas","AR-04",4,8.73533,"Mostly Rural",0,0,751385,0.501,48035,68641,41,0.198485464,0.12,0.023,NA,40
"19","Arkansas","AR-02",2,10.27967,"Rural-Exurban",0,0,761676,0.521,60134,86830,38.6,0.172123055,0.192,0.027,NA,40
"20","Arkansas","AR-01",1,8.83946,"Mostly Rural",0,0,747672,0.501,50233,76033,41.1,0.193695899,0.112,0.029,NA,40
"21","Arkansas","AR-03",3,10.41405,"Rural-Exurban",0,0,784904,0.501,66414,91554,35.6,0.144960403,0.205,0.024,NA,40
"22","California","CA-45",45,13.2715,"Dense Urban",1,0,752508,0.503,100891,131008,40.8,0.172068603,0.252,0.027,"West",3
"23","California","CA-01",1,9.84611,"Rural-Exurban",0,0,758561,0.496,64471,89083,38.7,0.189180567,0.164,0.038,"West",3
"24","California","CA-37",37,13.94794,"Dense Urban",1,1,740416,0.498,64565,105185,34.5,0.121773435,0.18,0.046,"West",3
"25","California","CA-43",43,13.62739,"Dense Urban",1,1,723043,0.513,66509,90543,35.5,0.126258051,0.154,0.044,"West",3
"26","California","CA-28",28,12.95812,"Urban-Suburban",1,1,719742,0.513,98310,147928,43,0.194655863,0.279,0.027,"West",3
"27","California","CA-50",50,12.38566,"Dense Suburban",0,1,748969,0.486,108881,147311,37,0.152242616,0.326,0.028,"West",3
"28","California","CA-44",44,13.30183,"Dense Urban",1,1,735344,0.505,78725,104095,36.8,0.14033024,0.17,0.039,"West",3
"29","California","CA-13",13,10.56639,"Suburban-Exurban",1,0,782352,0.491,67465,90186,32.2,0.114407581,0.107,0.057,"West",3
"30","California","CA-18",18,11.6734,"Dense Suburban",1,1,734686,0.482,96509,125896,34.5,0.122027642,0.169,0.029,"West",3
"31","California","CA-08",8,11.90436,"Dense Suburban",0,1,748189,0.511,91501,120329,38.7,0.166381756,0.2,0.039,"West",3
"32","California","CA-17",17,12.89651,"Urban-Suburban",1,1,740766,0.474,166489,225445,37.4,0.134193524,0.299,0.027,"West",3
"33","California","CA-12",12,12.99689,"Urban-Suburban",1,1,736597,0.503,100136,158118,38.3,0.161431556,0.29,0.026,"West",3
"34","California","CA-25",25,10.85976,"Suburban-Exurban",0,1,773601,0.496,65453,86556,37.3,0.171044246,0.112,0.038,"West",3
"35","California","CA-39",39,12.26121,"Dense Suburban",0,1,770106,0.501,84017,101185,32.9,0.109708274,0.119,0.037,"West",3
"36","California","CA-51",51,12.76409,"Urban-Suburban",1,1,757528,0.5,100357,126874,37.3,0.147778036,0.273,0.031,"West",3
"37","California","CA-31",31,12.91872,"Urban-Suburban",1,1,730452,0.5,82631,104798,39.1,0.160287055,0.164,0.03,"West",3
"38","California","CA-27",27,11.69082,"Dense Suburban",1,0,737592,0.504,98123,126171,37.9,0.139512088,0.195,0.038,"West",3
"39","California","CA-34",34,13.78271,"Dense Urban",1,1,745561,0.488,58845,90698,36.6,0.141218492,0.198,0.043,"West",3
"40","California","CA-07",7,12.37742,"Dense Suburban",1,1,763060,0.504,85158,111062,37.3,0.157310041,0.22,0.034,"West",3
"41","California","CA-11",11,13.56329,"Dense Urban",1,1,705678,0.484,139300,219266,39.7,0.179640006,0.369,0.024,"West",3
"42","California","CA-14",14,12.35435,"Dense Suburban",1,1,733220,0.507,135760,176217,40.6,0.160562996,0.29,0.029,"West",3
"43","California","CA-15",15,12.74003,"Urban-Suburban",1,1,719254,0.5,135162,194363,41.3,0.182016367,0.277,0.024,"West",3
"44","California","CA-46",46,13.41158,"Dense Urban",1,1,749454,0.504,80779,102727,34.8,0.120453023,0.157,0.028,"West",3
"45","California","CA-38",38,13.05118,"Dense Urban",1,1,720021,0.504,90687,116060,40.2,0.174783791,0.204,0.027,"West",3
"46","California","CA-04",4,10.88493,"Suburban-Exurban",0,1,765203,0.501,87319,120019,39.3,0.190464491,0.203,0.036,"West",3
"47","California","CA-42",42,13.38775,"Dense Urban",0,1,723841,0.507,73006,96607,36,0.124614384,0.173,0.033,"West",3
"48","California","CA-20",20,11.13707,"Suburban-Exurban",1,0,793325,0.499,82983,109435,35.3,0.14616204,0.183,0.028,"West",3
"49","California","CA-30",30,13.35822,"Dense Urban",1,1,732048,0.502,85046,127287,40,0.167505409,0.33,0.044,"West",3
"50","California","CA-47",47,12.75985,"Urban-Suburban",1,1,752940,0.503,117944,167329,38.5,0.161201424,0.358,0.026,"West",3
"51","California","CA-16",16,12.69778,"Urban-Suburban",1,1,735381,0.504,160623,252250,40.6,0.179766679,0.292,0.023,"West",3
"52","California","CA-29",29,13.2762,"Dense Urban",1,1,728732,0.495,67175,93964,36.6,0.130563774,0.179,0.049,"West",3
"53","California","CA-24",24,10.90673,"Suburban-Exurban",1,1,750711,0.497,91784,122616,37.7,0.187602153,0.246,0.026,"West",3
"54","California","CA-06",6,12.55663,"Urban-Suburban",1,1,749993,0.506,80409,103919,36.6,0.145234689,0.202,0.033,"West",3
"55","California","CA-35",35,12.69247,"Urban-Suburban",1,1,769910,0.497,84692,102832,34.2,0.107626865,0.154,0.036,"West",3
"56","California","CA-36",36,13.0746,"Dense Urban",1,1,727412,0.514,121164,178732,40.7,0.18294859,0.376,0.036,"West",3
"57","California","CA-48",48,11.38078,"Suburban-Exurban",0,0,766556,0.5,105095,123665,38.7,0.173545051,0.22,0.025,"West",3
"58","California","CA-09",9,11.65593,"Dense Suburban",1,1,769426,0.498,86062,112256,35.4,0.137290656,0.156,0.041,"West",3
"59","California","CA-03",3,10.69738,"Suburban-Exurban",1,0,773866,0.502,98689,138499,43.7,0.223374589,0.263,0.023,"West",3
"60","California","CA-33",33,12.51408,"Urban-Suburban",1,1,774631,0.505,81830,102043,33.7,0.109676736,0.14,0.036,"West",3
"61","California","CA-23",23,10.65169,"Suburban-Exurban",0,0,756057,0.485,68322,92714,34,0.134761003,0.118,0.043,"West",3
"62","California","CA-52",52,12.86991,"Urban-Suburban",1,1,749240,0.503,79870,97953,35.3,0.13451364,0.181,0.04,"West",3
"63","California","CA-05",5,10.6608,"Suburban-Exurban",1,0,778853,0.505,84734,117476,41.4,0.206017053,0.194,0.031,"West",3
"64","California","CA-02",2,10.21213,"Rural-Exurban",1,1,747410,0.507,92721,143695,45.5,0.236768307,0.257,0.036,"West",3
"65","California","CA-26",26,11.6762,"Dense Suburban",1,1,758064,0.506,107265,147543,39.4,0.170844414,0.238,0.028,"West",3
"66","California","CA-40",40,12.52466,"Urban-Suburban",1,0,742204,0.503,124144,159845,43.1,0.192022678,0.316,0.025,"West",3
"67","California","CA-19",19,11.39059,"Suburban-Exurban",1,1,745616,0.502,118453,175344,41.4,0.202086597,0.279,0.024,"West",3
"68","California","CA-10",10,11.99965,"Dense Suburban",1,1,754064,0.504,143122,197073,41.4,0.171409854,0.319,0.026,"West",3
"69","California","CA-49",49,11.85506,"Dense Suburban",1,1,752364,0.488,109380,150874,40,0.179736138,0.306,0.026,"West",3
"70","California","CA-32",32,12.8771,"Urban-Suburban",1,1,783556,0.504,103213,164440,40.6,0.179102706,0.311,0.039,"West",3
"71","California","CA-21",21,11.73072,"Dense Suburban",0,1,748904,0.494,61213,82126,32,0.112003675,0.121,0.051,"West",3
"72","California","CA-22",22,11.14961,"Suburban-Exurban",0,0,775019,0.483,54697,73829,30.3,0.09561572,0.073,0.048,"West",3
"73","California","CA-41",41,11.54949,"Dense Suburban",1,0,797316,0.49,95306,123567,40.1,0.186320104,0.203,0.031,"West",3
"74","Colorado","CO-03",3,9.12253,"Mostly Rural",0,0,731516,0.498,67311,89336,41.8,0.209341969,0.224,0.022,"West",11
"75","Colorado","CO-08",8,11.73294,"Dense Suburban",NA,1,737452,0.495,92047,114194,35.4,0.121652663,0.198,0.026,"West",11
"76","Colorado","CO-01",1,12.90034,"Urban-Suburban",1,1,720042,0.495,87684,129542,35,0.123283086,0.358,0.027,"West",11
"77","Colorado","CO-02",2,10.84144,"Suburban-Exurban",1,1,726112,0.497,94059,125122,37.7,0.167906604,0.347,0.023,"West",11
"78","Colorado","CO-04",4,10.18295,"Rural-Exurban",0,0,748891,0.485,108087,140908,39.1,0.154187993,0.32,0.018,"West",11
"79","Colorado","CO-06",6,12.55418,"Urban-Suburban",1,1,718693,0.498,91725,123611,37.8,0.148881372,0.286,0.028,"West",11
"80","Colorado","CO-05",5,11.6376,"Dense Suburban",0,0,732858,0.488,82432,101822,35.1,0.139591845,0.258,0.026,"West",11
"81","Colorado","CO-07",7,11.49257,"Suburban-Exurban",1,1,724362,0.488,97203,125098,41.7,0.189617898,0.311,0.019,"West",11
"82","Connecticut","CT-02",2,10.38751,"Rural-Exurban",1,1,727411,0.503,88894,120303,42.5,0.204528114,0.223,0.026,"Northeast",28
"83","Connecticut","CT-01",1,11.72734,"Dense Suburban",1,1,718849,0.516,80371,111086,40.2,0.18023674,0.22,0.034,"Northeast",28
"84","Connecticut","CT-03",3,11.80288,"Dense Suburban",1,1,735042,0.511,86205,120600,39.9,0.179546203,0.2,0.028,"Northeast",28
"85","Connecticut","CT-05",5,11.2163,"Suburban-Exurban",1,1,734438,0.514,87715,121720,40.8,0.180404609,0.227,0.032,"Northeast",28
"86","Connecticut","CT-04",4,11.88718,"Dense Suburban",1,1,710465,0.507,106972,190234,41.1,0.170174463,0.281,0.034,"Northeast",28
"87","Delaware","DE-01",1,11.04734,"Suburban-Exurban",1,1,1018396,0.514,82174,104569,41.5,0.208347244,0.21,0.027,"South",36
"88","Florida","FL-17",17,11.13713,"Suburban-Exurban",0,0,839779,0.515,70558,94705,55.1,0.345458746,0.199,0.02,NA,8
"89","Florida","FL-02",2,9.76267,"Rural-Exurban",0,0,792422,0.499,57516,83388,38.8,0.176904478,0.172,0.025,NA,8
"90","Florida","FL-10",10,12.39927,"Dense Suburban",1,1,766928,0.51,64575,96054,34.9,0.127559562,0.256,0.029,NA,8
"91","Florida","FL-09",9,11.49649,"Suburban-Exurban",1,1,821662,0.5,69493,95156,38.5,0.14254158,0.239,0.023,NA,8
"92","Florida","FL-24",24,12.99463,"Urban-Suburban",1,1,791673,0.505,60388,95698,39.7,0.165784358,0.202,0.029,NA,8
"93","Florida","FL-03",3,9.85896,"Rural-Exurban",0,0,794723,0.501,56286,80520,40.5,0.217855781,0.162,0.024,NA,8
"94","Florida","FL-26",26,12.35861,"Dense Suburban",0,0,796673,0.509,67071,92098,42.6,0.189362511,0.192,0.021,NA,8
"95","Florida","FL-08",8,11.05486,"Suburban-Exurban",0,0,801682,0.507,73344,99322,48.9,0.268806085,0.213,0.023,NA,8
"96","Florida","FL-16",16,11.5819,"Dense Suburban",0,0,824961,0.519,79125,103570,43.4,0.229684797,0.225,0.021,NA,8
"97","Florida","FL-25",25,12.59246,"Urban-Suburban",0,1,767802,0.504,79024,110218,41.9,0.170180593,0.265,0.028,NA,8
"98","Florida","FL-18",18,10.27548,"Rural-Exurban",0,0,833693,0.498,57810,78504,40.2,0.211612668,0.128,0.023,NA,8
"99","Florida","FL-23",23,12.53913,"Urban-Suburban",1,1,768707,0.513,80179,121695,43.1,0.2136874,0.274,0.024,NA,8
"100","Florida","FL-07",7,11.56998,"Dense Suburban",1,0,788222,0.509,75437,103461,42.3,0.20143183,0.223,0.022,NA,8
"101","Florida","FL-04",4,11.16743,"Suburban-Exurban",0,0,801792,0.515,70226,87260,38.2,0.163786867,0.175,0.028,NA,8
"102","Florida","FL-14",14,12.15817,"Dense Suburban",1,1,782155,0.505,70955,113446,39,0.165459532,0.26,0.028,NA,8
"103","Florida","FL-06",6,10.34874,"Rural-Exurban",0,0,812621,0.512,60287,83926,49.2,0.279114126,0.165,0.021,NA,8
"104","Florida","FL-13",13,12.18172,"Dense Suburban",1,0,763693,0.517,65785,102181,51.5,0.281768983,0.221,0.022,NA,8
"105","Florida","FL-28",28,11.99153,"Dense Suburban",NA,0,740547,0.503,73429,95459,41.4,0.174433223,0.198,0.017,NA,8
"106","Florida","FL-21",21,11.32203,"Suburban-Exurban",1,0,807943,0.503,76355,112956,48,0.269849482,0.229,0.024,NA,8
"107","Florida","FL-15",15,11.70438,"Dense Suburban",0,0,817831,0.503,67704,96929,38.9,0.166025744,0.213,0.028,NA,8
"108","Florida","FL-19",19,11.42951,"Suburban-Exurban",0,0,802244,0.51,76223,109733,54.6,0.348039998,0.23,0.018,NA,8
"109","Florida","FL-12",12,10.87248,"Suburban-Exurban",0,0,806076,0.506,59804,90255,47,0.261756956,0.162,0.024,NA,8
"110","Florida","FL-05",5,11.5198,"Dense Suburban",1,0,801685,0.509,84630,115644,39.3,0.174161921,0.303,0.019,NA,8
"111","Florida","FL-27",27,12.86377,"Urban-Suburban",0,0,754619,0.509,75323,129442,42.2,0.191162693,0.251,0.018,NA,8
"112","Florida","FL-22",22,12.34584,"Dense Suburban",1,1,783947,0.513,73404,114136,46.7,0.26959348,0.235,0.025,NA,8
"113","Florida","FL-20",20,12.52127,"Urban-Suburban",1,1,768934,0.513,57237,78305,39.8,0.179841183,0.167,0.039,NA,8
"114","Florida","FL-01",1,10.48931,"Rural-Exurban",0,0,789347,0.495,71302,91357,39,0.174587349,0.2,0.023,NA,8
"115","Florida","FL-11",11,10.99759,"Suburban-Exurban",0,0,822462,0.511,78966,110304,44.9,0.25725687,0.233,0.019,NA,8
"116","Georgia","GA-04",4,12.11052,"Dense Suburban",1,1,781395,0.525,73742,107398,36.6,0.137351788,0.229,0.034,"South",19
"117","Georgia","GA-09",9,10.38211,"Rural-Exurban",0,0,794277,0.505,76038,99178,40.4,0.176439706,0.201,0.022,"South",19
"118","Georgia","GA-06",6,11.6706,"Dense Suburban",1,0,790519,0.504,123105,159602,40.2,0.150852794,0.359,0.019,"South",19
"119","Georgia","GA-11",11,11.4803,"Suburban-Exurban",0,0,786646,0.514,90472,115456,37.6,0.145182204,0.282,0.022,"South",19
"120","Georgia","GA-14",14,10.32933,"Rural-Exurban",0,0,779321,0.501,69169,90546,39.1,0.157582049,0.142,0.019,"South",19
"121","Georgia","GA-02",2,9.92455,"Rural-Exurban",1,1,755007,0.514,48779,68437,37.7,0.166100447,0.122,0.036,"South",19
"122","Georgia","GA-07",7,12.16479,"Dense Suburban",1,1,776248,0.512,84547,111242,36.2,0.116447321,0.255,0.027,"South",19
"123","Georgia","GA-12",12,9.65989,"Rural-Exurban",0,0,770831,0.506,56189,80133,37.1,0.160525459,0.145,0.029,"South",19
"124","Georgia","GA-08",8,9.29515,"Mostly Rural",0,0,769408,0.509,55822,81177,37.2,0.16323849,0.125,0.022,"South",19
"125","Georgia","GA-10",10,10.11493,"Rural-Exurban",0,0,806637,0.511,73988,95128,37.7,0.151582434,0.183,0.026,"South",19
"126","Georgia","GA-05",5,12.50446,"Urban-Suburban",1,1,759771,0.514,80430,128358,34.8,0.131388274,0.31,0.032,"South",19
"127","Georgia","GA-01",1,9.88095,"Rural-Exurban",0,0,790309,0.513,63376,82187,37.1,0.162632591,0.168,0.027,"South",19
"128","Georgia","GA-03",3,10.05251,"Rural-Exurban",0,0,785113,0.511,74348,99129,39.1,0.173208188,0.173,0.023,"South",19
"129","Georgia","GA-13",13,11.68632,"Dense Suburban",1,1,767394,0.531,71993,89033,36.4,0.115705883,0.193,0.033,"South",19
"130","Hawaii","HI-02",2,10.08184,"Rural-Exurban",1,1,722458,0.495,89314,110163,40.7,0.204104598,0.199,0.022,NA,21
"131","Hawaii","HI-01",1,12.29852,"Dense Suburban",1,1,717738,0.497,96086,119586,40.9,0.205084585,0.242,0.021,NA,21
"132","Idaho","ID-02",2,9.99565,"Rural-Exurban",0,0,954083,0.499,72674,92108,35.5,0.154233961,0.224,0.019,"West",41
"133","Idaho","ID-01",1,10.01293,"Rural-Exurban",0,0,984950,0.494,72898,93106,39.6,0.185164729,0.205,0.017,"West",41
"134","Illinois","IL-13",13,10.9285,"Suburban-Exurban",0,1,739838,0.508,59843,83717,37.3,0.175251879,0.186,0.034,"Midwest",4
"135","Illinois","IL-15",15,8.88089,"Mostly Rural",0,0,746507,0.503,66614,87685,42.1,0.210729437,0.16,0.019,"Midwest",4
"136","Illinois","IL-05",5,13.26219,"Dense Urban",1,1,732819,0.51,104191,155018,37.5,0.162124617,0.374,0.018,"Midwest",4
"137","Illinois","IL-08",8,12.2366,"Dense Suburban",1,1,749823,0.498,91317,115163,40,0.155063262,0.267,0.028,"Midwest",4
"138","Illinois","IL-01",1,12.39519,"Dense Suburban",1,1,728550,0.524,64107,93637,40.2,0.185970764,0.179,0.052,"Midwest",4
"139","Illinois","IL-11",11,11.60326,"Dense Suburban",1,1,766225,0.505,99802,133296,40.1,0.160294953,0.276,0.029,"Midwest",4
"140","Illinois","IL-02",2,11.29298,"Suburban-Exurban",1,1,730809,0.523,57780,81581,39.5,0.180168827,0.14,0.053,"Midwest",4
"141","Illinois","IL-17",17,10.68504,"Suburban-Exurban",1,1,738355,0.502,56834,76341,38.7,0.189109575,0.158,0.029,"Midwest",4
"142","Illinois","IL-07",7,13.64136,"Dense Urban",1,1,758917,0.527,76365,123828,34.2,0.130824583,0.257,0.045,"Midwest",4
"143","Illinois","IL-10",10,11.70691,"Dense Suburban",1,1,744016,0.496,98057,145104,40.2,0.168745027,0.259,0.02,"Midwest",4
"144","Illinois","IL-12",12,8.90855,"Mostly Rural",0,0,748293,0.496,62253,81304,41.9,0.198515822,0.152,0.022,"Midwest",4
"145","Illinois","IL-03",3,13.31683,"Dense Urban",1,1,708538,0.492,78452,110500,37.2,0.140538687,0.247,0.031,"Midwest",4
