"","stcd","state_code","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"209","SC-04","SC",4,11.18361,"Suburban-Exurban",1,1,754482,0.513,64879,94088,38.4,0.168648159,0.227,0.028
"210","AZ-07","AZ",7,11.1681,"Suburban-Exurban",0,0,815141,0.499,52555,70987,34,0.146083929,0.138,0.031
"211","FL-04","FL",4,11.16743,"Suburban-Exurban",1,1,801792,0.515,70226,87260,38.2,0.163786867,0.175,0.028
"212","CA-22","CA",22,11.14961,"Suburban-Exurban",1,1,775019,0.483,54697,73829,30.3,0.09561572,0.073,0.048
"213","MA-02","MA",2,11.14515,"Suburban-Exurban",0,0,785076,0.505,88327,124258,39.7,0.177210869,0.242,0.031
"214","TX-08","TX",8,11.14212,"Suburban-Exurban",1,1,827950,0.5,83466,115576,36.1,0.124935081,0.225,0.023
"215","UT-01","UT",1,11.14186,"Suburban-Exurban",1,1,850432,0.495,86951,111939,32,0.11368575,0.252,0.017
"216","FL-17","FL",17,11.13713,"Suburban-Exurban",1,1,839779,0.515,70558,94705,55.1,0.345458746,0.199,0.02
"217","CA-20","CA",20,11.13707,"Suburban-Exurban",0,1,793325,0.499,82983,109435,35.3,0.14616204,0.183,0.028
"218","TX-34","TX",34,11.11507,"Suburban-Exurban",0,0,790190,0.503,48801,65789,31,0.132330199,0.137,0.038
"219","MA-01","MA",1,11.06145,"Suburban-Exurban",0,0,772032,0.51,68956,96674,42.1,0.198863519,0.191,0.029
"220","FL-08","FL",8,11.05486,"Suburban-Exurban",1,1,801682,0.507,73344,99322,48.9,0.268806085,0.213,0.023
"221","MD-06","MD",6,11.05104,"Suburban-Exurban",0,0,792577,0.502,96041,126053,39.7,0.162129358,0.228,0.028
"222","NC-06","NC",6,11.04841,"Suburban-Exurban",1,0,751852,0.522,61429,87520,39,0.170794252,0.215,0.027
"223","DE-01","DE",1,11.04734,"Suburban-Exurban",0,0,1018396,0.514,82174,104569,41.5,0.208347244,0.21,0.027
"224","OK-05","OK",5,11.04301,"Suburban-Exurban",1,1,807931,0.509,68269,98507,37.6,0.162199495,0.25,0.024
"225","TX-28","TX",28,11.00937,"Suburban-Exurban",0,0,777758,0.503,60356,79462,33.7,0.124984892,0.151,0.032
"226","FL-11","FL",11,10.99759,"Suburban-Exurban",1,1,822462,0.511,78966,110304,44.9,0.25725687,0.233,0.019
"227","OR-05","OR",5,10.97807,"Suburban-Exurban",0,1,719249,0.501,86573,116800,41.8,0.199523392,0.25,0.021
"228","WI-01","WI",1,10.97015,"Suburban-Exurban",1,1,729535,0.501,71781,94789,40.5,0.178639819,0.206,0.021
"229","TX-05","TX",5,10.95429,"Suburban-Exurban",1,1,787249,0.501,74111,93375,37.1,0.148862685,0.168,0.029
"230","TN-05","TN",5,10.9531,"Suburban-Exurban",0,1,784695,0.51,86017,122728,39,0.156081025,0.299,0.016
"231","IL-13","IL",13,10.9285,"Suburban-Exurban",1,0,739838,0.508,59843,83717,37.3,0.175251879,0.186,0.034
"232","NE-01","NE",1,10.91282,"Suburban-Exurban",1,1,659903,0.494,74193,94549,36.1,0.159773482,0.242,0.015
"233","TX-15","TX",15,10.90763,"Suburban-Exurban",0,1,776813,0.501,55382,78067,32.5,0.128365514,0.161,0.032
"234","CA-24","CA",24,10.90673,"Suburban-Exurban",0,0,750711,0.497,91784,122616,37.7,0.187602153,0.246,0.026
"235","PA-11","PA",11,10.90266,"Suburban-Exurban",1,1,768350,0.505,82321,104833,40.5,0.202161775,0.195,0.019
"236","MD-05","MD",5,10.89787,"Suburban-Exurban",0,0,789972,0.5,121284,135099,38.8,0.151525624,0.233,0.028
"237","NC-04","NC",4,10.8961,"Suburban-Exurban",0,0,761039,0.521,74019,101762,37.4,0.163069173,0.256,0.019
"238","WA-02","WA",2,10.88959,"Suburban-Exurban",0,0,782277,0.497,82997,112828,40,0.199430636,0.23,0.026
"239","CA-04","CA",4,10.88493,"Suburban-Exurban",1,0,765203,0.501,87319,120019,39.3,0.190464491,0.203,0.036
"240","VA-07","VA",7,10.87841,"Suburban-Exurban",0,0,798820,0.5,103589,118497,37.8,0.136954508,0.221,0.025
"241","FL-12","FL",12,10.87248,"Suburban-Exurban",1,1,806076,0.506,59804,90255,47,0.261756956,0.162,0.024
"242","IN-05","IN",5,10.86186,"Suburban-Exurban",1,1,772783,0.506,75915,114079,38.8,0.1668075,0.258,0.022
"243","CA-25","CA",25,10.85976,"Suburban-Exurban",1,0,773601,0.496,65453,86556,37.3,0.171044246,0.112,0.038
"244","TX-04","TX",4,10.84754,"Suburban-Exurban",1,1,817813,0.5,92686,126702,38.8,0.145622532,0.278,0.021
"245","CO-02","CO",2,10.84144,"Suburban-Exurban",0,0,726112,0.497,94059,125122,37.7,0.167906604,0.347,0.023
"246","WA-03","WA",3,10.83859,"Suburban-Exurban",1,0,789222,0.501,85196,111673,40.4,0.187109584,0.18,0.026
"247","TX-25","TX",25,10.83693,"Suburban-Exurban",1,1,804617,0.51,73257,93297,37.3,0.16056832,0.207,0.026
"248","NC-13","NC",13,10.83426,"Suburban-Exurban",1,0,776185,0.506,82201,107430,38.9,0.147535703,0.241,0.021
"249","OH-09","OH",9,10.81999,"Suburban-Exurban",0,0,780071,0.506,62077,86175,41.1,0.194420764,0.172,0.022
"250","TN-02","TN",2,10.81321,"Suburban-Exurban",1,1,790362,0.508,66809,92884,40.3,0.188326362,0.211,0.015
"251","NY-18","NY",18,10.77794,"Suburban-Exurban",0,0,786432,0.502,87124,113651,39.5,0.175149282,0.192,0.025
"252","WI-05","WI",5,10.76168,"Suburban-Exurban",1,1,741842,0.499,89947,120254,42.9,0.198948024,0.265,0.015
"253","NY-22","NY",22,10.73647,"Suburban-Exurban",1,1,764843,0.508,68941,93531,40.4,0.194093428,0.197,0.023
"254","TX-21","TX",21,10.72731,"Suburban-Exurban",1,1,807859,0.502,88786,118488,40.2,0.188608408,0.297,0.021
"255","TX-31","TX",31,10.70318,"Suburban-Exurban",1,1,841841,0.502,89116,118353,37.2,0.14370172,0.253,0.025
"256","AZ-09","AZ",9,10.70182,"Suburban-Exurban",0,1,851459,0.501,73310,99426,41.5,0.210939106,0.157,0.03
"257","MI-08","MI",8,10.69794,"Suburban-Exurban",0,0,768166,0.51,57526,81071,41.5,0.198567757,0.169,0.039
"258","CA-03","CA",3,10.69738,"Suburban-Exurban",0,1,773866,0.502,98689,138499,43.7,0.223374589,0.263,0.023
"259","VA-01","VA",1,10.69374,"Suburban-Exurban",1,1,810541,0.511,99057,125150,41.8,0.199153405,0.28,0.017
"260","TX-14","TX",14,10.69072,"Suburban-Exurban",1,1,773046,0.491,68463,97049,38.2,0.155941561,0.18,0.032
"261","UT-02","UT",2,10.68866,"Suburban-Exurban",1,1,849661,0.489,80789,106281,33.7,0.139354401,0.213,0.019
"262","IL-17","IL",17,10.68504,"Suburban-Exurban",0,0,738355,0.502,56834,76341,38.7,0.189109575,0.158,0.029
"263","AZ-06","AZ",6,10.67026,"Suburban-Exurban",1,1,790643,0.504,71152,97110,44.1,0.261196267,0.231,0.024
"264","MA-09","MA",9,10.66888,"Suburban-Exurban",0,0,785636,0.507,94066,135443,47.3,0.246616754,0.251,0.025
"265","CA-05","CA",5,10.6608,"Suburban-Exurban",0,1,778853,0.505,84734,117476,41.4,0.206017053,0.194,0.031
"266","SC-01","SC",1,10.65648,"Suburban-Exurban",1,1,762713,0.507,85282,114474,41.3,0.205288228,0.259,0.016
"267","SC-02","SC",2,10.65473,"Suburban-Exurban",1,1,750640,0.514,71562,92365,40,0.176877065,0.214,0.029
"268","TX-36","TX",36,10.65274,"Suburban-Exurban",1,1,770407,0.501,67663,91223,36.7,0.145094736,0.164,0.026
"269","CA-23","CA",23,10.65169,"Suburban-Exurban",1,1,756057,0.485,68322,92714,34,0.134761003,0.118,0.043
"270","IN-06","IN",6,10.64735,"Suburban-Exurban",1,1,758725,0.503,69426,90452,38.2,0.170594089,0.185,0.02
"271","KY-06","KY",6,10.63682,"Suburban-Exurban",1,1,754485,0.508,62298,88251,37.4,0.162945585,0.215,0.032
"272","NH-01","NH",1,10.62228,"Suburban-Exurban",0,0,703923,0.504,91412,122606,42.8,0.195399213,0.253,0.013
"273","KS-04","KS",4,10.60621,"Suburban-Exurban",1,1,737034,0.501,65593,85966,37.4,0.169808991,0.202,0.03
"274","WI-02","WI",2,10.60495,"Suburban-Exurban",0,0,743974,0.497,82271,108255,37.7,0.165516537,0.296,0.014
"275","TX-06","TX",6,10.59703,"Suburban-Exurban",1,1,801951,0.487,75003,94733,36,0.126975339,0.182,0.025
"276","WA-08","WA",8,10.57876,"Suburban-Exurban",0,0,765776,0.49,119767,162820,39.7,0.155165479,0.257,0.02
"277","WA-06","WA",6,10.57689,"Suburban-Exurban",0,0,773605,0.495,84233,110751,42.5,0.222145669,0.213,0.026
"278","CA-13","CA",13,10.56639,"Suburban-Exurban",0,1,782352,0.491,67465,90186,32.2,0.114407581,0.107,0.057
"279","PA-08","PA",8,10.55984,"Suburban-Exurban",0,0,766586,0.501,63172,87863,43.1,0.205812525,0.174,0.033
"280","TX-11","TX",11,10.5536,"Suburban-Exurban",1,1,777332,0.493,62147,86551,33.9,0.135546973,0.167,0.029
"281","MI-07","MI",7,10.5525,"Suburban-Exurban",1,0,779873,0.506,74404,100573,38.7,0.175397789,0.223,0.025
"282","MI-04","MI",4,10.54956,"Suburban-Exurban",1,1,778490,0.506,70086,92562,37.8,0.177655461,0.209,0.023
"283","IA-03","IA",3,10.54495,"Suburban-Exurban",0,1,814070,0.501,74960,104117,37.6,0.160299483,0.253,0.02
"284","NJ-02","NJ",2,10.52803,"Suburban-Exurban",1,1,791164,0.501,80850,108849,43.1,0.209067905,0.195,0.033
"285","AL-06","AL",6,10.51947,"Suburban-Exurban",1,1,710137,0.516,78796,112952,39.8,0.170772682,0.248,0.017
"286","OH-14","OH",14,10.5151,"Suburban-Exurban",1,1,784361,0.501,65214,91799,42.9,0.211588796,0.19,0.024
"287","FL-01","FL",1,10.48931,"Rural-Exurban",1,1,789347,0.495,71302,91357,39,0.174587349,0.2,0.023
"288","MN-06","MN",6,10.45171,"Rural-Exurban",1,1,731533,0.492,95930,120995,37.5,0.140643006,0.244,0.018
"289","WA-05","WA",5,10.43452,"Rural-Exurban",1,1,785349,0.499,67085,96025,38.6,0.185337983,0.209,0.026
"290","AR-03","AR",3,10.41405,"Rural-Exurban",1,1,784904,0.501,66414,91554,35.6,0.144960403,0.205,0.024
"291","CT-02","CT",2,10.38751,"Rural-Exurban",0,0,727411,0.503,88894,120303,42.5,0.204528114,0.223,0.026
"292","NV-02","NV",2,10.38652,"Rural-Exurban",1,1,791398,0.491,79687,102689,40.2,0.19174423,0.176,0.029
"293","GA-09","GA",9,10.38211,"Rural-Exurban",1,1,794277,0.505,76038,99178,40.4,0.176439706,0.201,0.022
"294","KY-04","KY",4,10.35224,"Rural-Exurban",1,1,762092,0.502,75907,101293,39.5,0.166302756,0.203,0.022
"295","FL-06","FL",6,10.34874,"Rural-Exurban",1,1,812621,0.512,60287,83926,49.2,0.279114126,0.165,0.021
"296","GA-14","GA",14,10.32933,"Rural-Exurban",1,1,779321,0.501,69169,90546,39.1,0.157582049,0.142,0.019
"297","IN-02","IN",2,10.29184,"Rural-Exurban",1,1,754764,0.505,62487,86538,37.9,0.176210047,0.165,0.019
"298","AL-05","AL",5,10.27975,"Rural-Exurban",1,1,743238,0.506,73698,101427,40.2,0.172317616,0.221,0.021
"299","AR-02","AR",2,10.27967,"Rural-Exurban",1,1,761676,0.521,60134,86830,38.6,0.172123055,0.192,0.027
"300","FL-18","FL",18,10.27548,"Rural-Exurban",1,1,833693,0.498,57810,78504,40.2,0.211612668,0.128,0.023
"301","SC-06","SC",6,10.26945,"Rural-Exurban",0,0,741110,0.521,51364,75482,37.1,0.172225446,0.178,0.035
"302","TN-03","TN",3,10.26313,"Rural-Exurban",1,1,788228,0.509,68127,93286,40.8,0.190076983,0.181,0.018
"303","AL-07","AL",7,10.25422,"Rural-Exurban",0,0,716121,0.527,45784,70138,36.5,0.17216085,0.162,0.034
"304","TN-07","TN",7,10.24005,"Rural-Exurban",1,1,801730,0.508,70095,92273,35.5,0.138433138,0.215,0.024
"305","CA-02","CA",2,10.21213,"Rural-Exurban",0,0,747410,0.507,92721,143695,45.5,0.236768307,0.257,0.036
"306","NC-09","NC",9,10.20829,"Rural-Exurban",1,1,769258,0.509,62661,79319,36.5,0.172139906,0.184,0.026
"307","IN-03","IN",3,10.18394,"Rural-Exurban",1,1,762110,0.502,65522,86998,37.5,0.170842792,0.169,0.023
"308","NC-08","NC",8,10.18313,"Rural-Exurban",1,1,760699,0.507,69466,97207,40.5,0.170373564,0.177,0.023
"309","CO-04","CO",4,10.18295,"Rural-Exurban",1,1,748891,0.485,108087,140908,39.1,0.154187993,0.32,0.018
"310","NC-10","NC",10,10.17915,"Rural-Exurban",1,1,768814,0.5,64668,88672,42.9,0.192945238,0.183,0.023
"311","OK-04","OK",4,10.17789,"Rural-Exurban",1,1,805331,0.498,62067,78845,36.3,0.158385807,0.177,0.029
"312","OR-04","OR",4,10.15422,"Rural-Exurban",0,0,715450,0.502,61845,81852,42.5,0.233152561,0.193,0.03
"313","TX-10","TX",10,10.15221,"Rural-Exurban",1,1,803507,0.495,80035,117620,36.5,0.148516441,0.26,0.023
"314","MO-03","MO",3,10.14706,"Rural-Exurban",1,1,773675,0.507,75478,97042,39.7,0.183274631,0.213,0.021
"315","OH-06","OH",6,10.12129,"Rural-Exurban",1,1,778876,0.501,57817,75239,43.2,0.221416503,0.14,0.019
"316","MD-01","MD",1,10.11806,"Rural-Exurban",1,1,781695,0.503,87671,113507,42.2,0.198133543,0.202,0.02
"317","GA-10","GA",10,10.11493,"Rural-Exurban",1,1,806637,0.511,73988,95128,37.7,0.151582434,0.183,0.026
"318","AL-01","AL",1,10.10553,"Rural-Exurban",1,1,730935,0.515,58781,83458,40.9,0.193123876,0.171,0.029
"319","PA-16","PA",16,10.09883,"Rural-Exurban",1,1,761430,0.504,61715,87862,42.9,0.213797723,0.189,0.02
"320","TN-06","TN",6,10.09657,"Rural-Exurban",1,1,783125,0.499,64687,89526,39.6,0.177156903,0.194,0.021
"321","HI-02","HI",2,10.08184,"Rural-Exurban",0,0,722458,0.495,89314,110163,40.7,0.204104598,0.199,0.022
"322","SC-05","SC",5,10.07118,"Rural-Exurban",1,1,758549,0.513,66451,89708,40.5,0.179376678,0.187,0.024
"323","WA-04","WA",4,10.07076,"Rural-Exurban",1,1,783190,0.492,73355,93585,35,0.153684291,0.15,0.031
"324","WI-08","WI",8,10.06483,"Rural-Exurban",1,1,742030,0.496,71930,94154,41.3,0.188185114,0.209,0.017
"325","MO-07","MO",7,10.0606,"Rural-Exurban",1,1,785669,0.507,56419,74018,38.5,0.182813628,0.175,0.022
"326","GA-03","GA",3,10.05251,"Rural-Exurban",1,1,785113,0.511,74348,99129,39.1,0.173208188,0.173,0.023
"327","VA-06","VA",6,10.05085,"Rural-Exurban",1,1,784909,0.514,67623,88953,40.8,0.203113992,0.174,0.022
"328","MI-09","MI",9,10.04531,"Rural-Exurban",0,1,777301,0.501,78456,106685,43.8,0.196492736,0.182,0.019
"329","NC-05","NC",5,10.03604,"Rural-Exurban",1,1,754512,0.514,54503,81612,41.6,0.201550141,0.186,0.028
"330","TX-17","TX",17,10.03186,"Rural-Exurban",1,1,781996,0.493,63266,81530,35.9,0.152381854,0.167,0.03
"331","TX-27","TX",27,10.02864,"Rural-Exurban",1,1,771898,0.496,61819,82853,38.2,0.171166398,0.136,0.029
"332","NY-19","NY",19,10.01977,"Rural-Exurban",0,1,768600,0.5,67645,92799,42.2,0.213001561,0.185,0.024
"333","NC-07","NC",7,10.01653,"Rural-Exurban",1,1,774574,0.514,62763,85247,41.8,0.210931428,0.203,0.024
"334","ID-01","ID",1,10.01293,"Rural-Exurban",1,1,984950,0.494,72898,93106,39.6,0.185164729,0.205,0.017
"335","ID-02","ID",2,9.99565,"Rural-Exurban",1,1,954083,0.499,72674,92108,35.5,0.154233961,0.224,0.019
"336","NM-02","NM",2,9.98027,"Rural-Exurban",1,0,696764,0.503,53550,71424,36.9,0.173502075,0.134,0.03
"337","TX-19","TX",19,9.97486,"Rural-Exurban",1,1,767757,0.489,58951,84101,33.7,0.140566612,0.167,0.026
"338","TX-13","TX",13,9.96255,"Rural-Exurban",1,1,776421,0.489,64369,85974,36.2,0.151028888,0.167,0.021
"339","TX-23","TX",23,9.96234,"Rural-Exurban",1,1,778355,0.491,71327,95460,34.6,0.136439028,0.195,0.023
"340","IN-04","IN",4,9.95885,"Rural-Exurban",1,1,768518,0.493,72677,97133,37.4,0.159984542,0.196,0.016
"341","PA-14","PA",14,9.93512,"Rural-Exurban",1,1,755713,0.501,62622,88772,45.1,0.229679786,0.172,0.029
"342","GA-02","GA",2,9.92455,"Rural-Exurban",0,0,755007,0.514,48779,68437,37.7,0.166100447,0.122,0.036
"343","OH-05","OH",5,9.90051,"Rural-Exurban",1,1,785544,0.504,64333,88710,40.9,0.193171866,0.159,0.019
"344","ME-01","ME",1,9.89315,"Rural-Exurban",0,0,697698,0.51,80938,107030,44.3,0.220377585,0.27,0.018
"345","GA-01","GA",1,9.88095,"Rural-Exurban",1,1,790309,0.513,63376,82187,37.1,0.162632591,0.168,0.027
"346","TN-01","TN",1,9.8716,"Rural-Exurban",1,1,781128,0.505,54716,76834,43.9,0.210449504,0.15,0.021
"347","FL-03","FL",3,9.85896,"Rural-Exurban",1,1,794723,0.501,56286,80520,40.5,0.217855781,0.162,0.024
"348","OH-04","OH",4,9.84778,"Rural-Exurban",1,1,799350,0.495,72537,99973,40.7,0.179650966,0.188,0.023
"349","CA-01","CA",1,9.84611,"Rural-Exurban",1,1,758561,0.496,64471,89083,38.7,0.189180567,0.164,0.038
"350","WI-06","WI",6,9.83501,"Rural-Exurban",1,1,733889,0.493,68092,93250,42.7,0.205573322,0.189,0.013
"351","SC-07","SC",7,9.82861,"Rural-Exurban",1,1,762499,0.521,53313,77890,45,0.236909163,0.161,0.027
"352","KS-02","KS",2,9.77136,"Rural-Exurban",1,1,730784,0.496,60983,80182,37.7,0.174475632,0.169,0.025
"353","OH-12","OH",12,9.76928,"Rural-Exurban",1,1,793038,0.499,69819,95227,40,0.177722883,0.179,0.022
"354","FL-02","FL",2,9.76267,"Rural-Exurban",1,1,792422,0.499,57516,83388,38.8,0.176904478,0.172,0.025
"355","IN-09","IN",9,9.74306,"Rural-Exurban",1,1,760778,0.501,67283,86927,39.6,0.176168343,0.164,0.021
"356","IA-02","IA",2,9.73029,"Rural-Exurban",1,1,793421,0.5,67862,91117,40.2,0.198049963,0.204,0.02
"357","SC-03","SC",3,9.72732,"Rural-Exurban",1,1,752641,0.506,56693,80331,41.3,0.196218383,0.157,0.023
"358","NC-11","NC",11,9.70481,"Rural-Exurban",1,1,756051,0.521,62261,85301,45.7,0.248876068,0.224,0.017
"359","MS-04","MS",4,9.69525,"Rural-Exurban",1,1,750414,0.513,57460,77273,38.9,0.172612718,0.155,0.031
"360","MI-05","MI",5,9.67438,"Rural-Exurban",0,1,768082,0.495,64067,85508,42,0.201067074,0.148,0.029
"361","TN-04","TN",4,9.67047,"Rural-Exurban",1,1,796991,0.502,65227,82606,37.9,0.156931509,0.173,0.016
"362","GA-12","GA",12,9.65989,"Rural-Exurban",1,1,770831,0.506,56189,80133,37.1,0.160525459,0.145,0.029
"363","IA-01","IA",1,9.65413,"Rural-Exurban",1,1,798442,0.499,67381,87516,39,0.183372117,0.211,0.018
"364","NH-02","NH",2,9.63994,"Rural-Exurban",0,0,691308,0.497,88494,119762,43.8,0.208932921,0.239,0.02
"365","TX-01","TX",1,9.61616,"Rural-Exurban",1,1,775992,0.509,60999,83392,39.1,0.182360127,0.147,0.022
"366","PA-09","PA",9,9.61451,"Rural-Exurban",1,1,760960,0.5,65710,86986,43.2,0.213241169,0.15,0.024
"367","WV-02","WV",2,9.60292,"Rural-Exurban",1,1,898343,0.498,59773,81933,42,0.201145887,0.162,0.026
"368","IL-16","IL",16,9.59515,"Rural-Exurban",1,1,745274,0.5,78393,100707,41.7,0.204599919,0.205,0.023
"369","NY-24","NY",24,9.59475,"Rural-Exurban",1,1,774173,0.498,66103,85603,42.3,0.205073026,0.16,0.026
"370","IN-08","IN",8,9.56708,"Rural-Exurban",1,1,752244,0.498,61601,82509,39.8,0.191958992,0.151,0.019
"371","KY-02","KY",2,9.56108,"Rural-Exurban",1,1,756377,0.503,61768,86840,39.6,0.171492523,0.144,0.022
"372","TN-08","TN",8,9.55329,"Rural-Exurban",1,1,768105,0.515,63678,94568,41.3,0.195376934,0.168,0.025
"373","AL-02","AL",2,9.51913,"Rural-Exurban",1,1,723094,0.515,57561,78988,39.1,0.180406697,0.155,0.024
"374","OK-03","OK",3,9.51656,"Rural-Exurban",1,1,796469,0.491,54397,73175,35.5,0.153314191,0.15,0.025
"375","PA-13","PA",13,9.46451,"Mostly Rural",1,1,764692,0.5,64430,87402,43.6,0.218689355,0.138,0.018
"376","AL-03","AL",3,9.46407,"Mostly Rural",1,1,723164,0.514,54047,76517,39.4,0.182316874,0.152,0.027
"377","NC-01","NC",1,9.45644,"Mostly Rural",0,0,753536,0.514,53854,75802,40.7,0.197284536,0.161,0.031
"378","MN-01","MN",1,9.4322,"Mostly Rural",1,1,714126,0.497,73826,97587,39.4,0.191356987,0.204,0.02
"379","OH-02","OH",2,9.35387,"Mostly Rural",1,1,786489,0.499,61589,84216,41.1,0.185701262,0.132,0.02
"380","NC-03","NC",3,9.34073,"Mostly Rural",1,1,756848,0.492,61546,80318,37.8,0.185326512,0.176,0.022
"381","VA-05","VA",5,9.33159,"Mostly Rural",1,1,797420,0.507,63384,95989,41.4,0.209034135,0.201,0.021
"382","GA-08","GA",8,9.29515,"Mostly Rural",1,1,769408,0.509,55822,81177,37.2,0.16323849,0.125,0.022
"383","NY-23","NY",23,9.27141,"Mostly Rural",1,1,770357,0.505,66388,94297,43.9,0.217518631,0.171,0.026
"384","ND-01","ND",1,9.26211,"Mostly Rural",1,1,779261,0.488,71970,94991,36.2,0.16720072,0.223,0.015
"385","MO-06","MO",6,9.23278,"Mostly Rural",1,1,768652,0.499,66176,91011,39.3,0.179909764,0.165,0.02
"386","MS-01","MS",1,9.21649,"Mostly Rural",1,1,748916,0.513,56871,80948,38.1,0.16711487,0.146,0.022
"387","IA-04","IA",4,9.20412,"Mostly Rural",1,1,794584,0.492,68755,88720,39,0.194862972,0.19,0.02
"388","MS-03","MS",3,9.18269,"Mostly Rural",1,1,735973,0.522,56209,81816,39.3,0.175824385,0.173,0.024
"389","AL-04","AL",4,9.14366,"Mostly Rural",1,1,727607,0.512,54960,79078,40.8,0.188182632,0.118,0.024
"390","MO-04","MO",4,9.13833,"Mostly Rural",1,1,780184,0.497,62213,82741,38.4,0.180890662,0.158,0.023
"391","CO-03","CO",3,9.12253,"Mostly Rural",1,1,731516,0.498,67311,89336,41.8,0.209341969,0.224,0.022
"392","VA-09","VA",9,9.07969,"Mostly Rural",1,1,785166,0.498,54260,80818,44,0.224976629,0.142,0.015
"393","WV-01","WV",1,9.06467,"Mostly Rural",1,1,876813,0.509,49609,78668,43.8,0.222925527,0.137,0.024
"394","VT-01","VT",1,9.05338,"Mostly Rural",0,0,647064,0.504,73991,95179,43.2,0.216094544,0.245,0.018
"395","NM-03","NM",3,9.01836,"Mostly Rural",0,0,703053,0.506,58790,81134,40.4,0.202040244,0.156,0.03
"396","WI-03","WI",3,9.00014,"Mostly Rural",0,1,741433,0.491,67520,87090,39.5,0.194120035,0.185,0.018
"397","MO-08","MO",8,8.99901,"Mostly Rural",1,1,775424,0.5,53903,76922,40.7,0.185685509,0.137,0.023
"398","MS-02","MS",2,8.97501,"Mostly Rural",0,0,704754,0.511,40532,63317,39.4,0.183178811,0.13,0.034
"399","KS-01","KS",1,8.97284,"Mostly Rural",1,1,727503,0.493,60646,77866,36,0.178764899,0.188,0.019
"400","SD-01","SD",1,8.9698,"Mostly Rural",1,1,909824,0.492,69728,89048,38.5,0.182352851,0.217,0.019
"401","MT-01","MT",1,8.95109,"Mostly Rural",1,1,569331,0.491,65994,91510,39.9,0.199843325,0.241,0.021
"402","PA-15","PA",15,8.93615,"Mostly Rural",1,1,759208,0.488,60094,80712,42.7,0.211631068,0.143,0.019
"403","IL-12","IL",12,8.90855,"Mostly Rural",1,1,748293,0.496,62253,81304,41.9,0.198515822,0.152,0.022
"404","OR-02","OR",2,8.90369,"Mostly Rural",1,1,700774,0.495,62171,83149,43.1,0.233150773,0.146,0.029
"405","IL-15","IL",15,8.88089,"Mostly Rural",1,1,746507,0.503,66614,87685,42.1,0.210729437,0.16,0.019
"406","KY-01","KY",1,8.87433,"Mostly Rural",1,1,757381,0.506,54615,74436,40,0.189415895,0.123,0.025
"407","AR-01","AR",1,8.83946,"Mostly Rural",1,1,747672,0.501,50233,76033,41.1,0.193695899,0.112,0.029
"408","MI-02","MI",2,8.82769,"Mostly Rural",1,1,781036,0.49,61030,79846,41.6,0.196318736,0.143,0.023
"409","AZ-02","AZ",2,8.78438,"Mostly Rural",0,1,820500,0.494,62015,81524,41.9,0.230145034,0.156,0.027
"410","NY-21","NY",21,8.77082,"Mostly Rural",1,1,776361,0.487,66565,85227,42.4,0.207135598,0.155,0.02
"411","KY-05","KY",5,8.76626,"Mostly Rural",1,1,739149,0.499,42736,65175,41.9,0.188090629,0.089,0.02
"412","AR-04","AR",4,8.73533,"Mostly Rural",1,1,751385,0.501,48035,68641,41,0.198485464,0.12,0.023
"413","AK-01","AK",1,8.7344,"Mostly Rural",0,0,733583,0.474,88121,106785,35.9,0.138326542,0.192,0.029
"414","MN-08","MN",8,8.7145,"Mostly Rural",1,1,725126,0.491,69868,92889,42.6,0.214961262,0.18,0.022
"415","OK-02","OK",2,8.6155,"Mostly Rural",1,1,802111,0.501,50776,72998,39.7,0.191936029,0.135,0.022
"416","ME-02","ME",2,8.55475,"Mostly Rural",0,0,687642,0.501,59676,81913,46,0.231422746,0.175,0.022
"417","WY-01","WY",1,8.52656,"Mostly Rural",1,1,581381,0.488,70042,88486,39.1,0.185743944,0.18,0.024
"418","WI-07","WI",7,8.42007,"Mostly Rural",1,1,740385,0.492,66222,89948,45.4,0.225724454,0.178,0.017
"419","MI-01","MI",1,8.3504,"Mostly Rural",1,1,782743,0.488,60877,78945,47.6,0.25738333,0.177,0.021
"420","NE-03","NE",3,8.26581,"Mostly Rural",1,1,649904,0.498,61627,80233,40.6,0.21024182,0.173,0.013
"421","MN-07","MN",7,8.14396,"Mostly Rural",1,1,713848,0.493,70672,90681,41.9,0.213216259,0.178,0.019
